 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 minimum eigenvalues =   1.073564306029724E-011  0.874568058651315     
  0.902020517071802     
 maximum eigenvalues =    2164.41327968012        600.794189933891     
   511.050078064555     
 num eigs kept =           63
 iter     1 lrate =  0.0500000000 LL =  -2.5472077793 nd =  0.0410997500, D =   0.16716E-01  0.16716E-01  (  1.79 s,   1.0 h)
 iter     2 lrate =  0.0500000000 LL =  -2.5044446082 nd =  0.0131977619, D =   0.14548E-01  0.14548E-01  (  1.69 s,   0.9 h)
 iter     3 lrate =  0.0500000000 LL =  -2.4978884855 nd =  0.0065080331, D =   0.12006E-01  0.12006E-01  (  1.68 s,   0.9 h)
 iter     4 lrate =  0.0500000000 LL =  -2.4961329700 nd =  0.0059974410, D =   0.99223E-02  0.99223E-02  (  1.85 s,   1.0 h)
 iter     5 lrate =  0.0500000000 LL =  -2.4954031674 nd =  0.0058501934, D =   0.85144E-02  0.85144E-02  (  1.89 s,   1.0 h)
 iter     6 lrate =  0.0500000000 LL =  -2.4949991587 nd =  0.0056434597, D =   0.77346E-02  0.77346E-02  (  1.71 s,   0.9 h)
 iter     7 lrate =  0.0500000000 LL =  -2.4947182695 nd =  0.0054004663, D =   0.74688E-02  0.74688E-02  (  1.69 s,   0.9 h)
 iter     8 lrate =  0.0500000000 LL =  -2.4944942053 nd =  0.0051528393, D =   0.75985E-02  0.75985E-02  (  1.77 s,   1.0 h)
 iter     9 lrate =  0.0500000000 LL =  -2.4943029229 nd =  0.0049187999, D =   0.80190E-02  0.80190E-02  (  1.71 s,   0.9 h)
 iter    10 lrate =  0.0500000000 LL =  -2.4941336890 nd =  0.0047075306, D =   0.86438E-02  0.86438E-02  (  1.76 s,   1.0 h)
 iter    11 lrate =  0.0500000000 LL =  -2.4939811216 nd =  0.0045212385, D =   0.94049E-02  0.94049E-02  (  1.90 s,   1.0 h)
 iter    12 lrate =  0.0500000000 LL =  -2.4938414504 nd =  0.0043613204, D =   0.10249E-01  0.10249E-01  (  3.29 s,   1.8 h)
 iter    13 lrate =  0.0500000000 LL =  -2.4937230232 nd =  0.0042061952, D =   0.11136E-01  0.11136E-01  (  2.17 s,   1.2 h)
 iter    14 lrate =  0.0500000000 LL =  -2.4936179752 nd =  0.0040746869, D =   0.12031E-01  0.12031E-01  (  1.97 s,   1.1 h)
 iter    15 lrate =  0.0500000000 LL =  -2.4935213792 nd =  0.0039648876, D =   0.12911E-01  0.12911E-01  (  2.17 s,   1.2 h)
 iter    16 lrate =  0.0500000000 LL =  -2.4934317656 nd =  0.0038720695, D =   0.13762E-01  0.13762E-01  (  2.77 s,   1.5 h)
 iter    17 lrate =  0.0500000000 LL =  -2.4933480572 nd =  0.0037933500, D =   0.14574E-01  0.14574E-01  (  2.06 s,   1.1 h)
 iter    18 lrate =  0.0500000000 LL =  -2.4932692493 nd =  0.0037263149, D =   0.15338E-01  0.15338E-01  (  1.81 s,   1.0 h)
 iter    19 lrate =  0.0500000000 LL =  -2.4931945236 nd =  0.0036689218, D =   0.16052E-01  0.16052E-01  (  3.26 s,   1.8 h)
 iter    20 lrate =  0.0500000000 LL =  -2.4931234432 nd =  0.0036192240, D =   0.16713E-01  0.16713E-01  (  1.87 s,   1.0 h)
 iter    21 lrate =  0.0500000000 LL =  -2.4930554473 nd =  0.0035765198, D =   0.17320E-01  0.17320E-01  (  4.34 s,   2.4 h)
 iter    22 lrate =  0.0500000000 LL =  -2.4929901379 nd =  0.0035387160, D =   0.17874E-01  0.17874E-01  (  1.88 s,   1.0 h)
 iter    23 lrate =  0.0500000000 LL =  -2.4929272570 nd =  0.0035059473, D =   0.18377E-01  0.18377E-01  (  1.92 s,   1.1 h)
 iter    24 lrate =  0.0500000000 LL =  -2.4928663306 nd =  0.0034764884, D =   0.18830E-01  0.18830E-01  (  1.85 s,   1.0 h)
 iter    25 lrate =  0.0500000000 LL =  -2.4928073053 nd =  0.0034505315, D =   0.19237E-01  0.19237E-01  (  1.97 s,   1.1 h)
 iter    26 lrate =  0.0500000000 LL =  -2.4927498747 nd =  0.0034265749, D =   0.19600E-01  0.19600E-01  (  2.02 s,   1.1 h)
 iter    27 lrate =  0.0500000000 LL =  -2.4926939463 nd =  0.0034044022, D =   0.19921E-01  0.19921E-01  (  1.60 s,   0.9 h)
 iter    28 lrate =  0.0500000000 LL =  -2.4926395453 nd =  0.0033835535, D =   0.20204E-01  0.20204E-01  (  1.97 s,   1.1 h)
 iter    29 lrate =  0.0500000000 LL =  -2.4925864096 nd =  0.0033643060, D =   0.20451E-01  0.20451E-01  (  1.87 s,   1.0 h)
 iter    30 lrate =  0.0500000000 LL =  -2.4925344579 nd =  0.0033464288, D =   0.20665E-01  0.20665E-01  (  1.69 s,   0.9 h)
 iter    31 lrate =  0.0500000000 LL =  -2.4924836032 nd =  0.0033294748, D =   0.20849E-01  0.20849E-01  (  1.82 s,   1.0 h)
 iter    32 lrate =  0.0500000000 LL =  -2.4924337179 nd =  0.0033131573, D =   0.21006E-01  0.21006E-01  (  2.04 s,   1.1 h)
 iter    33 lrate =  0.0500000000 LL =  -2.4923848016 nd =  0.0032968434, D =   0.21138E-01  0.21138E-01  (  3.25 s,   1.8 h)
 iter    34 lrate =  0.0500000000 LL =  -2.4923368177 nd =  0.0032810168, D =   0.21247E-01  0.21247E-01  (  3.43 s,   1.9 h)
 iter    35 lrate =  0.0500000000 LL =  -2.4922896984 nd =  0.0032657024, D =   0.21334E-01  0.21334E-01  (  1.93 s,   1.1 h)
